number_of_samples,step,duration,version,cpu_user_diff,cpu_system_diff,cpu_user_system_diff,cpu_idle_diff,cpu_iowait_diff,memory_ram_max,memory_swap_max,memory_ram_swap_max,memory_ram_min,memory_swap_min,memory_ram_swap_min,disk_read_count_diff,disk_write_count_diff,disk_read_bytes_diff,disk_write_bytes_diff,disk_read_time_diff,disk_write_time_diff,disk_busy_time_diff,network_received_count_diff,network_sent_count_diff,network_received_bytes_diff,network_sent_bytes_diff,network_received_error_diff,network_sent_error_diff,network_received_drop_diff,network_sent_drop_diff
35,1,3.4964,2,10.24,1.07,11.31,100.16,0.1,28128997376,3776651264,31905648640,0,0,0,3644,1787,112099328,12043264,179,30,1396,11,18,2477,3455,0,0,0,0
28,2,2.7763,2,8.15,0.75,8.9,79.6,0.0,27661791232,4150439936,31812231168,27205373952,4150439936,31355813888,68,927,2007040,7499776,3,14,288,8,9,998,1172,0,0,0,0
33,3,3.2872,2,11.4,0.78,12.18,92.79,0.01,28163526656,3776651264,31940177920,27584638976,3776651264,31361290240,200,1664,4907008,10726400,10,38,268,117,109,13926,14224,0,0,0,0
32,4,3.1887,2,9.49,0.86,10.35,91.11,0.0,28130066432,3776651264,31906717696,27581857792,3776651264,31358509056,52,799,1179648,6909952,3,14,160,48,41,5920,6347,0,0,0,0
6760,5,714.9865,2,18399.91,368.15,18768.06,4017.25,53.74,65469853696,4289720320,69696131072,27050557440,4150439936,31340277760,1187593,673304,151849287680,450868960256,42748,16835474,191900,5291,5442,968432,959188,0,0,0,0
