name,run,number_of_samples,step,duration,version,cpu_user_diff,cpu_system_diff,cpu_user_system_diff,cpu_idle_diff,cpu_iowait_diff,memory_ram_max,memory_swap_max,memory_ram_swap_max,memory_ram_min,memory_swap_min,memory_ram_swap_min,disk_read_count_diff,disk_write_count_diff,disk_read_bytes_diff,disk_write_bytes_diff,disk_read_time_diff,disk_write_time_diff,disk_busy_time_diff,network_received_count_diff,network_sent_count_diff,network_received_bytes_diff,network_sent_bytes_diff,network_received_error_diff,network_sent_error_diff,network_received_drop_diff,network_sent_drop_diff
rpt-sansa: track2 / properties / 1M rows 10 columns,1,50,1,5.0023,3,11.56,0.82,12.38,7.35,0.15,729604096,0,729604096,0,0,0,275,509,5738496,3305472,168,429,544,0,2,0,220,0,0,0,0
rpt-sansa: track2 / properties / 1M rows 10 columns,2,51,2,5.1025,3,11.74,0.89,12.63,7.39,0.15,732119040,0,732119040,478732288,0,478732288,372,535,3416064,5423104,129,449,540,21,20,3622,5087,0,0,0,0
rpt-sansa: track2 / properties / 1M rows 10 columns,4,48,3,4.794,3,10.86,0.76,11.62,7.26,0.08,716128256,0,716128256,462901248,0,462901248,34,481,286720,3260416,11,372,224,1,3,54,1007,0,0,0,0
rpt-sansa: track2 / properties / 1M rows 10 columns,2,837,4,85.2492,3,306.31,12.76,319.07,20.78,0.36,5178449920,0,5178449920,488902656,0,488902656,3402,16039,166891520,1037541376,4358,22048,5804,59,57,9949,13320,0,0,0,0
