name,run,number_of_samples,step,duration,version,cpu_user_diff,cpu_system_diff,cpu_user_system_diff,cpu_idle_diff,cpu_iowait_diff,memory_ram_max,memory_swap_max,memory_ram_swap_max,memory_ram_min,memory_swap_min,memory_ram_swap_min,disk_read_count_diff,disk_write_count_diff,disk_read_bytes_diff,disk_write_bytes_diff,disk_read_time_diff,disk_write_time_diff,disk_busy_time_diff,network_received_count_diff,network_sent_count_diff,network_received_bytes_diff,network_sent_bytes_diff,network_received_error_diff,network_sent_error_diff,network_received_drop_diff,network_sent_drop_diff
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,49,1,4.9003,3,11.1,0.73,11.83,7.57,0.07,733929472,0,733929472,0,0,0,0,485,0,3272704,0,395,160,1,3,42,262,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,3,49,2,4.8984,3,11.53,0.79,12.32,7.06,0.07,731836416,0,731836416,458919936,0,458919936,0,490,0,3284992,0,376,152,0,2,0,220,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,4,46,3,4.5936,3,10.34,0.72,11.06,7.13,0.07,713601024,0,713601024,458502144,0,458502144,0,467,0,3239936,0,396,164,0,2,0,220,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,3,227,4,23.0548,3,73.03,2.98,76.01,15.76,0.08,3050684416,0,3050684416,472756224,0,472756224,0,577,0,9248768,0,504,240,1,3,42,262,0,0,0,0
