number_of_samples,step,duration,version,cpu_user_diff,cpu_system_diff,cpu_user_system_diff,cpu_idle_diff,cpu_iowait_diff,memory_ram_max,memory_swap_max,memory_ram_swap_max,memory_ram_min,memory_swap_min,memory_ram_swap_min,disk_read_count_diff,disk_write_count_diff,disk_read_bytes_diff,disk_write_bytes_diff,disk_read_time_diff,disk_write_time_diff,disk_busy_time_diff,network_received_count_diff,network_sent_count_diff,network_received_bytes_diff,network_sent_bytes_diff,network_received_error_diff,network_sent_error_diff,network_received_drop_diff,network_sent_drop_diff
31,1,3.0829,2,9.44,0.79,10.23,88.06,0.0,27582652416,4289146880,31871799296,0,0,0,6,1182,24576,7884800,0,18,164,21,24,3957,3483,0,0,0,0
31,2,3.0855,2,9.52,0.82,10.34,88.03,0.0,27594440704,4289142784,31883583488,27062190080,4289142784,31351332864,0,1850,0,10486784,0,35,152,7,13,1110,1856,0,0,0,0
29,3,2.879,2,7.9,0.85,8.75,83.3,0.0,27533156352,4289146880,31822303232,27063169024,4289146880,31352315904,12,395,90112,3316736,1,4,148,16,23,2647,3465,0,0,0,0
99,4,10.0797,2,52.11,3.31,55.42,266.62,0.0,31611678720,4289146880,35900825600,27065942016,4289146880,31355088896,3618,2551,471449600,15456256,178,55,2312,48,56,9878,11181,0,0,0,0
