name,run,number_of_samples,step,duration,version,cpu_user_diff,cpu_system_diff,cpu_user_system_diff,cpu_idle_diff,cpu_iowait_diff,memory_ram_max,memory_swap_max,memory_ram_swap_max,memory_ram_min,memory_swap_min,memory_ram_swap_min,disk_read_count_diff,disk_write_count_diff,disk_read_bytes_diff,disk_write_bytes_diff,disk_read_time_diff,disk_write_time_diff,disk_busy_time_diff,network_received_count_diff,network_sent_count_diff,network_received_bytes_diff,network_sent_bytes_diff,network_received_error_diff,network_sent_error_diff,network_received_drop_diff,network_sent_drop_diff
rpt-sansa: track2 / joins / join N-1 / join 5-1 50percent,1,49,1,4.8976,3,11.14,0.9,12.04,7.39,0.08,710139904,0,710139904,0,0,0,6,536,65536,3522560,4,411,180,9,9,846,1318,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 5-1 50percent,2,49,2,4.8989,3,11.16,0.8,11.96,7.37,0.08,725880832,0,725880832,468754432,0,468754432,0,512,0,3379200,0,431,180,1,3,42,262,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 5-1 50percent,2,45,3,4.4918,3,10.25,0.67,10.92,6.81,0.06,701702144,0,701702144,462733312,0,462733312,0,439,0,2744320,0,336,152,1,3,54,596,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 5-1 50percent,2,233,4,23.661,3,74.97,3.6,78.57,15.67,0.05,3529883648,0,3529883648,459108352,0,459108352,0,821,0,23040000,0,798,264,1,3,54,1007,0,0,0,0
