name,run,number_of_samples,step,duration,version,cpu_user_diff,cpu_system_diff,cpu_user_system_diff,cpu_idle_diff,cpu_iowait_diff,memory_ram_max,memory_swap_max,memory_ram_swap_max,memory_ram_min,memory_swap_min,memory_ram_swap_min,disk_read_count_diff,disk_write_count_diff,disk_read_bytes_diff,disk_write_bytes_diff,disk_read_time_diff,disk_write_time_diff,disk_busy_time_diff,network_received_count_diff,network_sent_count_diff,network_received_bytes_diff,network_sent_bytes_diff,network_received_error_diff,network_sent_error_diff,network_received_drop_diff,network_sent_drop_diff
rpt-sansa: track2 / duplicated-values / 50percent,2,56,1,5.6298,3,13.2,0.88,14.08,8.2,0.07,788254720,0,788254720,0,0,0,0,410,0,3158016,0,330,160,1,3,42,262,0,0,0,0
rpt-sansa: track2 / duplicated-values / 50percent,5,56,2,5.6276,3,13.47,0.92,14.39,7.81,0.1,782745600,0,782745600,521433088,0,521433088,0,954,0,32468992,0,773,248,0,2,0,220,0,0,0,0
rpt-sansa: track2 / duplicated-values / 50percent,1,53,3,5.3224,3,12.07,0.9,12.97,8.04,0.07,751194112,0,751194112,514019328,0,514019328,1,402,4096,3100672,0,307,172,12,15,3174,3025,0,0,0,0
rpt-sansa: track2 / duplicated-values / 50percent,1,348,4,35.4988,3,120.02,4.65,124.67,16.94,0.07,2974109696,0,2974109696,516386816,0,516386816,209,829,9588736,37298176,537,766,500,13,17,3175,4581,0,0,0,0
