number_of_samples,step,duration,version,cpu_user_diff,cpu_system_diff,cpu_user_system_diff,cpu_idle_diff,cpu_iowait_diff,memory_ram_max,memory_swap_max,memory_ram_swap_max,memory_ram_min,memory_swap_min,memory_ram_swap_min,disk_read_count_diff,disk_write_count_diff,disk_read_bytes_diff,disk_write_bytes_diff,disk_read_time_diff,disk_write_time_diff,disk_busy_time_diff,network_received_count_diff,network_sent_count_diff,network_received_bytes_diff,network_sent_bytes_diff,network_received_error_diff,network_sent_error_diff,network_received_drop_diff,network_sent_drop_diff
31,1,3.0825,2,9.03,0.72,9.75,88.8,0.01,27573235712,4289417216,31862652928,0,0,0,12,1682,237568,9574400,1,34,156,27,34,5726,7313,0,0,0,0
32,2,3.185,2,9.35,0.88,10.23,91.18,0.0,27600097280,4289417216,31889514496,27057713152,4289417216,31347130368,10,2174,155648,12036096,0,48,148,34,45,11353,8718,0,0,0,0
29,3,2.879,2,8.12,0.76,8.88,82.98,0.01,27483668480,4289417216,31773085696,27062091776,4289417216,31351508992,8,1028,32768,7214080,1,14,208,29,41,3673,5365,0,0,0,0
108,4,11.0051,2,57.39,3.75,61.14,289.9,0.0,31605534720,4289417216,35894951936,27059802112,4289417216,31349219328,20,3063,270336,145956864,1,1307,360,78,104,17368,20051,0,0,0,0
