number_of_samples,step,duration,version,cpu_user_diff,cpu_system_diff,cpu_user_system_diff,cpu_idle_diff,cpu_iowait_diff,memory_ram_max,memory_swap_max,memory_ram_swap_max,memory_ram_min,memory_swap_min,memory_ram_swap_min,disk_read_count_diff,disk_write_count_diff,disk_read_bytes_diff,disk_write_bytes_diff,disk_read_time_diff,disk_write_time_diff,disk_busy_time_diff,network_received_count_diff,network_sent_count_diff,network_received_bytes_diff,network_sent_bytes_diff,network_received_error_diff,network_sent_error_diff,network_received_drop_diff,network_sent_drop_diff
33,1,3.2923,2,9.88,0.94,10.82,94.61,0.0,28735295488,3150110720,31885406208,0,0,0,0,2192,0,12782592,0,51,152,17,25,5847,2907,0,0,0,0
64,2,6.463,2,14.32,1.55,15.87,190.56,0.09,30364434432,3150110720,33514545152,28196675584,3150110720,31346786304,0,1903,0,335759872,0,3900,268,36,25,6527,4901,0,0,0,0
32,3,3.1892,2,10.97,0.67,11.64,90.35,0.0,28767232000,3150110720,31917342720,28192043008,3150110720,31342153728,0,581,0,4528128,0,11,120,9,16,664,1516,0,0,0,0
32,4,3.1855,2,9.8,0.69,10.49,91.03,0.0,28731904000,3150110720,31882014720,28194140160,3150110720,31344250880,0,1576,0,11748352,0,40,176,16,16,2547,2631,0,0,0,0
1083,5,113.5375,2,1962.3,65.68,2027.98,1582.71,10.4,62572564480,3150110720,65722675200,28199124992,3150110720,31349235712,16,57539,65536,44459550720,1,2509037,14448,979,1005,171717,150738,0,0,0,0
