name,run,number_of_samples,step,duration,version,cpu_user_diff,cpu_system_diff,cpu_user_system_diff,cpu_idle_diff,cpu_iowait_diff,memory_ram_max,memory_swap_max,memory_ram_swap_max,memory_ram_min,memory_swap_min,memory_ram_swap_min,disk_read_count_diff,disk_write_count_diff,disk_read_bytes_diff,disk_write_bytes_diff,disk_read_time_diff,disk_write_time_diff,disk_busy_time_diff,network_received_count_diff,network_sent_count_diff,network_received_bytes_diff,network_sent_bytes_diff,network_received_error_diff,network_sent_error_diff,network_received_drop_diff,network_sent_drop_diff
rpt-sansa: track2 / empty-values / 50percent,1,56,1,5.6283,3,13.08,1.03,14.11,8.14,0.13,784945152,0,784945152,0,0,0,152,440,2953216,3231744,106,371,452,1,3,54,1007,0,0,0,0
rpt-sansa: track2 / empty-values / 50percent,5,56,2,5.6327,3,13.14,0.81,13.95,8.36,0.07,780435456,0,780435456,523210752,0,523210752,0,457,0,3223552,0,396,192,0,2,0,220,0,0,0,0
rpt-sansa: track2 / empty-values / 50percent,1,53,3,5.321,3,12.3,0.91,13.21,7.72,0.09,756572160,0,756572160,516218880,0,516218880,57,418,466944,3215360,25,371,264,0,2,0,220,0,0,0,0
rpt-sansa: track2 / empty-values / 50percent,1,398,4,40.6173,3,138.83,5.71,144.54,17.24,0.09,3959631872,0,3959631872,526585856,0,526585856,188,1759,9912320,76505088,415,1408,656,2,4,96,1049,0,0,0,0
