number_of_samples,step,duration,version,cpu_user_diff,cpu_system_diff,cpu_user_system_diff,cpu_idle_diff,cpu_iowait_diff,memory_ram_max,memory_swap_max,memory_ram_swap_max,memory_ram_min,memory_swap_min,memory_ram_swap_min,disk_read_count_diff,disk_write_count_diff,disk_read_bytes_diff,disk_write_bytes_diff,disk_read_time_diff,disk_write_time_diff,disk_busy_time_diff,network_received_count_diff,network_sent_count_diff,network_received_bytes_diff,network_sent_bytes_diff,network_received_error_diff,network_sent_error_diff,network_received_drop_diff,network_sent_drop_diff
32,1,3.1875,2,9.39,0.84,10.23,91.53,0.0,28024885248,4288364544,32313249792,0,0,0,2,1259,8192,7733248,0,24,144,8,10,2297,2675,0,0,0,0
31,2,3.0848,2,10.03,0.81,10.84,87.65,0.01,28025012224,4288389120,32313401344,27478654976,4288389120,31767044096,240,1744,2793472,9580544,10,46,412,18,20,4345,4579,0,0,0,0
30,3,2.9802,2,8.29,0.76,9.05,85.71,0.0,27983269888,4288364544,32271634432,27480465408,4288364544,31768829952,4,1818,16384,9856000,0,41,152,17,15,5502,4891,0,0,0,0
351,4,36.6607,2,769.53,36.06,805.59,364.07,0.54,60519116800,4288364544,64807481344,27486683136,4288364544,31775047680,74,10600,319488,4475926528,5,167061,2096,176,183,31271,32167,0,0,0,0
