name,run,number_of_samples,step,duration,version,cpu_user_diff,cpu_system_diff,cpu_user_system_diff,cpu_idle_diff,cpu_iowait_diff,memory_ram_max,memory_swap_max,memory_ram_swap_max,memory_ram_min,memory_swap_min,memory_ram_swap_min,disk_read_count_diff,disk_write_count_diff,disk_read_bytes_diff,disk_write_bytes_diff,disk_read_time_diff,disk_write_time_diff,disk_busy_time_diff,network_received_count_diff,network_sent_count_diff,network_received_bytes_diff,network_sent_bytes_diff,network_received_error_diff,network_sent_error_diff,network_received_drop_diff,network_sent_drop_diff
rpt-sansa: track2 / joins / join N-M / join 5-10 75percent,1,49,1,4.9019,3,11.23,0.75,11.98,7.53,0.07,725008384,0,725008384,0,0,0,4,516,69632,3362816,3,385,160,10,10,1618,2227,0,0,0,0
rpt-sansa: track2 / joins / join N-M / join 5-10 75percent,5,49,2,4.901,3,11.35,0.87,12.22,7.11,0.11,718508032,0,718508032,478752768,0,478752768,212,514,2068480,3358720,72,439,380,12,15,3174,3026,0,0,0,0
rpt-sansa: track2 / joins / join N-M / join 5-10 75percent,2,46,3,4.5939,3,10.55,0.74,11.29,6.78,0.1,718770176,0,718770176,481439744,0,481439744,51,565,684032,7454720,22,531,280,0,2,0,220,0,0,0,0
rpt-sansa: track2 / joins / join N-M / join 5-10 75percent,3,309,4,31.4059,3,99.69,4.49,104.18,20.91,0.11,4186755072,0,4186755072,486100992,0,486100992,7,2022,69632,92160000,10,2301,452,16,18,2278,4116,0,0,0,0
