number_of_samples,step,duration,version,cpu_user_diff,cpu_system_diff,cpu_user_system_diff,cpu_idle_diff,cpu_iowait_diff,memory_ram_max,memory_swap_max,memory_ram_swap_max,memory_ram_min,memory_swap_min,memory_ram_swap_min,disk_read_count_diff,disk_write_count_diff,disk_read_bytes_diff,disk_write_bytes_diff,disk_read_time_diff,disk_write_time_diff,disk_busy_time_diff,network_received_count_diff,network_sent_count_diff,network_received_bytes_diff,network_sent_bytes_diff,network_received_error_diff,network_sent_error_diff,network_received_drop_diff,network_sent_drop_diff
34,1,3.3933,2,10.84,0.73,11.57,96.76,0.0,28742733824,3162693632,31905427456,0,0,0,2,1571,8192,10348544,0,29,152,26,35,7572,3674,0,0,0,0
42,2,4.2079,2,11.58,1.05,12.63,121.45,0.01,29564059648,3162693632,32726753280,28183478272,3162693632,31346171904,0,1698,0,128794624,0,653,228,19,33,4325,6691,0,0,0,0
32,3,3.1837,2,10.69,0.87,11.56,89.97,0.0,28739526656,3162693632,31902220288,28175675392,3162693632,31338369024,0,465,0,3969024,0,4,152,27,34,5054,5872,0,0,0,0
32,4,3.1861,2,9.83,0.78,10.61,90.73,0.0,28719104000,3162693632,31881797632,28176461824,3162693632,31339155456,0,1884,0,11802624,0,43,136,12,18,710,1504,0,0,0,0
1078,5,112.8629,2,1937.58,64.54,2002.12,1595.67,4.82,62708592640,3162693632,65871024128,28186148864,3162431488,31348580352,264,56393,1081344,44448052224,25,1717130,13036,778,813,147843,152123,0,0,0,0
