number_of_samples,step,duration,version,cpu_user_diff,cpu_system_diff,cpu_user_system_diff,cpu_idle_diff,cpu_iowait_diff,memory_ram_max,memory_swap_max,memory_ram_swap_max,memory_ram_min,memory_swap_min,memory_ram_swap_min,disk_read_count_diff,disk_write_count_diff,disk_read_bytes_diff,disk_write_bytes_diff,disk_read_time_diff,disk_write_time_diff,disk_busy_time_diff,network_received_count_diff,network_sent_count_diff,network_received_bytes_diff,network_sent_bytes_diff,network_received_error_diff,network_sent_error_diff,network_received_drop_diff,network_sent_drop_diff
33,1,3.285,2,9.69,0.8,10.49,94.58,0.0,27587575808,4284760064,31872335872,0,0,0,8,1345,32768,8639488,1,24,164,43,56,9191,6883,0,0,0,0
30,2,2.9797,2,9.05,0.79,9.84,85.12,0.0,27599118336,4284760064,31883878400,27070951424,4284760064,31355711488,10,444,294912,4006912,1,4,164,23,32,3183,4627,0,0,0,0
29,3,2.8775,2,8.06,0.76,8.82,83.04,0.0,27552161792,4284760064,31836921856,27074785280,4284760064,31359545344,6,1959,40960,10540032,0,43,140,9,10,2186,2360,0,0,0,0
123,4,12.5624,2,64.95,4.17,69.12,331.73,0.02,33196879872,4284760064,37481639936,27068506112,4284760064,31353266176,16,2197,65536,339243008,0,2447,384,45,51,9727,9987,0,0,0,0
