number_of_samples,step,duration,version,cpu_user_diff,cpu_system_diff,cpu_user_system_diff,cpu_idle_diff,cpu_iowait_diff,memory_ram_max,memory_swap_max,memory_ram_swap_max,memory_ram_min,memory_swap_min,memory_ram_swap_min,disk_read_count_diff,disk_write_count_diff,disk_read_bytes_diff,disk_write_bytes_diff,disk_read_time_diff,disk_write_time_diff,disk_busy_time_diff,network_received_count_diff,network_sent_count_diff,network_received_bytes_diff,network_sent_bytes_diff,network_received_error_diff,network_sent_error_diff,network_received_drop_diff,network_sent_drop_diff
33,1,3.2891,2,9.24,0.86,10.1,94.81,0.0,28038631424,4284272640,32322904064,0,0,0,4,2386,16384,13718528,0,49,200,37,42,10221,6847,0,0,0,0
31,2,3.0828,2,9.85,0.8,10.65,87.76,0.0,28042756096,4284272640,32327028736,27495436288,4284272640,31779708928,0,1770,0,8823808,0,46,120,11,16,2484,3176,0,0,0,0
30,3,2.9812,2,8.88,0.8,9.68,85.6,0.0,27997851648,4284272640,32282124288,27504115712,4284272640,31788388352,8,459,32768,3808256,0,5,172,10,15,1240,1940,0,0,0,0
353,4,36.9,2,771.1,34.96,806.06,370.29,0.28,60962824192,4284272640,65247096832,27503636480,4284272640,31787909120,44,10453,180224,4502684672,2,226567,1852,452,483,79096,60112,0,0,0,0
