number_of_samples,step,duration,version,cpu_user_diff,cpu_system_diff,cpu_user_system_diff,cpu_idle_diff,cpu_iowait_diff,memory_ram_max,memory_swap_max,memory_ram_swap_max,memory_ram_min,memory_swap_min,memory_ram_swap_min,disk_read_count_diff,disk_write_count_diff,disk_read_bytes_diff,disk_write_bytes_diff,disk_read_time_diff,disk_write_time_diff,disk_busy_time_diff,network_received_count_diff,network_sent_count_diff,network_received_bytes_diff,network_sent_bytes_diff,network_received_error_diff,network_sent_error_diff,network_received_drop_diff,network_sent_drop_diff
32,1,3.1818,2,9.16,0.73,9.89,91.64,0.0,28728381440,3162693632,31891075072,0,0,0,0,1908,0,11618304,0,43,136,30,34,9432,5204,0,0,0,0
31,2,3.0812,2,9.37,0.72,10.09,88.49,0.0,28707278848,3162693632,31869972480,28176822272,3162693632,31339515904,0,306,0,2501632,0,4,120,20,24,3596,4242,0,0,0,0
30,3,2.9793,2,9.85,0.79,10.64,84.58,0.0,28732809216,3162693632,31895502848,28179206144,3162693632,31341899776,4,453,229376,3999744,1,4,144,5,7,868,1088,0,0,0,0
30,4,2.9803,2,9.16,1.04,10.2,84.91,0.0,29277057024,3162693632,32439750656,28176695296,3162693632,31339388928,0,2069,0,13595648,0,41,168,16,22,2653,3399,0,0,0,0
100,5,10.2157,2,107.07,4.93,112.0,213.28,0.0,34326294528,3162693632,37488988160,28180086784,3162693632,31342780416,0,2173,0,16686080,0,35,328,63,68,14872,11274,0,0,0,0
