name,run,number_of_samples,step,duration,version,cpu_user_diff,cpu_system_diff,cpu_user_system_diff,cpu_idle_diff,cpu_iowait_diff,memory_ram_max,memory_swap_max,memory_ram_swap_max,memory_ram_min,memory_swap_min,memory_ram_swap_min,disk_read_count_diff,disk_write_count_diff,disk_read_bytes_diff,disk_write_bytes_diff,disk_read_time_diff,disk_write_time_diff,disk_busy_time_diff,network_received_count_diff,network_sent_count_diff,network_received_bytes_diff,network_sent_bytes_diff,network_received_error_diff,network_sent_error_diff,network_received_drop_diff,network_sent_drop_diff
rpt-sansa: track2 / joins / join 1-N / join 1-10 50percent,3,48,1,4.7971,3,11.03,0.75,11.78,7.09,0.08,721137664,0,721137664,0,0,0,0,486,0,3301376,0,391,156,1,4,54,1081,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 50percent,1,49,2,4.8998,3,11.41,0.77,12.18,7.16,0.07,710668288,0,710668288,470564864,0,470564864,0,527,0,5685248,0,430,184,0,2,0,220,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 50percent,5,45,3,4.4905,3,10.07,0.82,10.89,6.83,0.07,717148160,0,717148160,459235328,0,459235328,0,495,0,4956160,0,431,184,0,2,0,220,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 50percent,4,231,4,23.4592,3,75.29,3.05,78.34,15.03,0.08,3058233344,0,3058233344,462725120,0,462725120,2,629,20480,5873664,1,523,216,1,3,54,1007,0,0,0,0
