name,run,number_of_samples,step,duration,version,cpu_user_diff,cpu_system_diff,cpu_user_system_diff,cpu_idle_diff,cpu_iowait_diff,memory_ram_max,memory_swap_max,memory_ram_swap_max,memory_ram_min,memory_swap_min,memory_ram_swap_min,disk_read_count_diff,disk_write_count_diff,disk_read_bytes_diff,disk_write_bytes_diff,disk_read_time_diff,disk_write_time_diff,disk_busy_time_diff,network_received_count_diff,network_sent_count_diff,network_received_bytes_diff,network_sent_bytes_diff,network_received_error_diff,network_sent_error_diff,network_received_drop_diff,network_sent_drop_diff
rpt-sansa: track2 / joins / join 1-1 / join 1-1 50percent,5,49,1,4.8966,3,10.95,0.89,11.84,7.58,0.07,706990080,0,706990080,0,0,0,0,532,0,5292032,0,482,196,0,2,0,220,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 50percent,1,48,2,4.8028,3,11.51,0.79,12.3,6.74,0.07,708431872,0,708431872,464572416,0,464572416,0,531,0,5492736,0,440,172,0,2,0,220,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 50percent,1,45,3,4.4926,3,10.41,0.69,11.1,6.71,0.05,711147520,0,711147520,470241280,0,470241280,3,386,73728,2637824,2,298,144,0,2,0,220,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 50percent,3,240,4,24.3768,3,77.38,3.46,80.84,16.04,0.07,3748438016,0,3748438016,476172288,0,476172288,1,739,131072,16412672,1,712,284,2,4,108,1383,0,0,0,0
