name,run,number_of_samples,step,duration,version,cpu_user_diff,cpu_system_diff,cpu_user_system_diff,cpu_idle_diff,cpu_iowait_diff,memory_ram_max,memory_swap_max,memory_ram_swap_max,memory_ram_min,memory_swap_min,memory_ram_swap_min,disk_read_count_diff,disk_write_count_diff,disk_read_bytes_diff,disk_write_bytes_diff,disk_read_time_diff,disk_write_time_diff,disk_busy_time_diff,network_received_count_diff,network_sent_count_diff,network_received_bytes_diff,network_sent_bytes_diff,network_received_error_diff,network_sent_error_diff,network_received_drop_diff,network_sent_drop_diff
rpt-sansa: track2 / records / 1M rows 20 columns,5,52,1,5.2085,3,11.52,0.91,12.43,8.2,0.11,738238464,0,738238464,0,0,0,61,520,4907008,3383296,56,383,236,0,4,0,440,0,0,0,0
rpt-sansa: track2 / records / 1M rows 20 columns,3,52,2,5.2068,3,12.05,1.06,13.11,7.32,0.13,729485312,0,729485312,470241280,0,470241280,42,752,1269760,16486400,34,787,272,0,2,0,220,0,0,0,0
rpt-sansa: track2 / records / 1M rows 20 columns,4,49,3,4.909,3,11.21,0.84,12.05,7.36,0.08,726630400,0,726630400,485806080,0,485806080,18,480,495616,3194880,18,353,180,0,2,0,220,0,0,0,0
rpt-sansa: track2 / records / 1M rows 20 columns,1,1852,4,188.8169,3,702.53,23.86,726.39,25.28,2.02,5179224064,0,5179224064,474603520,0,474603520,5361,23929,224935936,1711382528,9072,71783,10604,56,58,13257,16535,0,0,0,0
