number_of_samples,step,duration,version,cpu_user_diff,cpu_system_diff,cpu_user_system_diff,cpu_idle_diff,cpu_iowait_diff,memory_ram_max,memory_swap_max,memory_ram_swap_max,memory_ram_min,memory_swap_min,memory_ram_swap_min,disk_read_count_diff,disk_write_count_diff,disk_read_bytes_diff,disk_write_bytes_diff,disk_read_time_diff,disk_write_time_diff,disk_busy_time_diff,network_received_count_diff,network_sent_count_diff,network_received_bytes_diff,network_sent_bytes_diff,network_received_error_diff,network_sent_error_diff,network_received_drop_diff,network_sent_drop_diff
31,1,3.0799,2,9.47,0.88,10.35,88.05,0.0,27592392704,4289413120,31881805824,0,0,0,8,1356,32768,8771584,1,23,176,20,16,4115,2883,0,0,0,0
31,2,3.0816,2,9.15,0.85,10.0,88.27,0.0,27598704640,4289413120,31888117760,27060232192,4289413120,31349645312,6,1196,172032,7859200,0,19,168,11,13,1368,1868,0,0,0,0
30,3,2.9782,2,7.82,0.64,8.46,86.45,0.0,27545522176,4289396736,31834918912,27066351616,4289396736,31355748352,4,1824,16384,10216448,0,42,164,22,32,6200,3412,0,0,0,0
101,4,10.2892,2,53.21,3.52,56.73,271.37,0.01,30980370432,4289396736,35269767168,27065393152,4289396736,31354789888,14,2519,57344,79065088,1,279,292,69,67,16542,16813,0,0,0,0
