number_of_samples,step,duration,version,cpu_user_diff,cpu_system_diff,cpu_user_system_diff,cpu_idle_diff,cpu_iowait_diff,memory_ram_max,memory_swap_max,memory_ram_swap_max,memory_ram_min,memory_swap_min,memory_ram_swap_min,disk_read_count_diff,disk_write_count_diff,disk_read_bytes_diff,disk_write_bytes_diff,disk_read_time_diff,disk_write_time_diff,disk_busy_time_diff,network_received_count_diff,network_sent_count_diff,network_received_bytes_diff,network_sent_bytes_diff,network_received_error_diff,network_sent_error_diff,network_received_drop_diff,network_sent_drop_diff
31,1,3.0849,2,9.12,0.74,9.86,88.56,0.0,27589238784,4284633088,31873871872,0,0,0,6,1321,24576,8645632,0,23,144,43,48,11537,8372,0,0,0,0
31,2,3.0827,2,8.96,0.94,9.9,88.49,0.0,27595771904,4284633088,31880404992,27070918656,4284633088,31355551744,8,1003,32768,7205888,0,13,156,116,127,18350,14687,0,0,0,0
29,3,2.8815,2,8.19,0.72,8.91,82.92,0.0,27564130304,4284633088,31848763392,27075117056,4284633088,31359750144,4,1921,16384,10548224,0,43,148,11,13,2410,1856,0,0,0,0
135,4,13.7804,2,71.71,4.82,76.53,363.66,0.04,33954852864,4284633088,38239485952,27076546560,4284633088,31361179648,26,5073,106496,433222656,1,3277,480,88,90,15358,16714,0,0,0,0
