number_of_samples,step,duration,version,cpu_user_diff,cpu_system_diff,cpu_user_system_diff,cpu_idle_diff,cpu_iowait_diff,memory_ram_max,memory_swap_max,memory_ram_swap_max,memory_ram_min,memory_swap_min,memory_ram_swap_min,disk_read_count_diff,disk_write_count_diff,disk_read_bytes_diff,disk_write_bytes_diff,disk_read_time_diff,disk_write_time_diff,disk_busy_time_diff,network_received_count_diff,network_sent_count_diff,network_received_bytes_diff,network_sent_bytes_diff,network_received_error_diff,network_sent_error_diff,network_received_drop_diff,network_sent_drop_diff
32,1,3.1842,2,8.88,0.92,9.8,91.83,0.0,27580850176,4284764160,31865614336,0,0,0,2,1395,8192,8882176,0,25,168,34,41,10450,7398,0,0,0,0
31,2,3.0803,2,9.17,0.87,10.04,88.3,0.0,27619065856,4284776448,31903842304,27069739008,4284776448,31354515456,2,2165,8192,11452416,0,51,148,7,8,2122,2276,0,0,0,0
29,3,2.8804,2,7.8,0.74,8.54,83.17,0.0,27552866304,4284760064,31837626368,27068317696,4284760064,31353077760,4,982,16384,6890496,0,14,176,32,35,3438,4723,0,0,0,0
141,4,14.4154,2,78.56,5.79,84.35,376.03,0.01,35895971840,4284764160,40180731904,27079524352,4284760064,31364284416,475,1718,12345344,46107648,26,35,412,73,78,14815,15848,0,0,0,0
